iter	Passed	Remaining
0	9	9134
1	15	7707
2	23	7690
3	30	7500
4	36	7221
5	43	7174
6	51	7355
7	62	7771
8	69	7599
9	76	7590
10	83	7512
11	92	7581
12	101	7707
13	110	7749
14	117	7694
15	124	7653
16	131	7609
17	139	7604
18	147	7623
19	160	7857
20	167	7824
21	177	7878
22	185	7877
23	193	7861
24	202	7896
25	209	7844
26	215	7771
27	222	7740
28	229	7676
29	237	7666
30	243	7605
31	250	7584
32	257	7534
33	264	7517
34	271	7477
35	277	7418
36	287	7470
37	295	7468
38	304	7506
39	311	7467
40	320	7503
41	326	7451
42	337	7504
43	344	7479
44	356	7556
45	363	7541
46	370	7518
47	384	7617
48	392	7625
49	401	7634
50	409	7611
51	418	7633
52	424	7580
53	430	7550
54	436	7507
55	442	7462
56	449	7434
57	455	7390
58	461	7354
59	466	7314
60	472	7274
61	478	7242
62	484	7209
63	490	7169
64	496	7147
65	502	7107
66	507	7069
67	514	7048
68	520	7019
69	526	6989
70	532	6963
71	538	6938
72	545	6925
73	551	6898
74	557	6872
75	563	6855
76	570	6837
77	577	6827
78	584	6817
79	591	6801
80	603	6850
81	611	6846
82	618	6829
83	626	6830
84	632	6812
85	643	6836
86	651	6840
87	662	6863
88	671	6875
89	683	6906
90	692	6915
91	699	6902
92	708	6911
93	716	6905
94	724	6904
95	732	6896
96	740	6893
97	751	6919
98	762	6941
99	770	6931
100	781	6953
101	792	6976
102	799	6964
103	809	6976
104	817	6967
105	827	6982
106	837	6987
107	844	6973
108	859	7023
109	867	7020
110	879	7042
111	892	7074
112	901	7073
113	911	7083
114	920	7085
115	928	7076
116	935	7062
117	945	7064
118	955	7075
119	971	7120
120	980	7120
121	992	7143
122	1000	7135
123	1007	7118
124	1014	7098
125	1020	7078
126	1026	7056
127	1032	7036
128	1038	7012
129	1045	6993
130	1055	7002
131	1065	7007
132	1075	7013
133	1086	7022
134	1107	7095
135	1122	7128
136	1133	7138
137	1140	7126
138	1149	7122
139	1156	7104
140	1166	7104
141	1176	7106
142	1191	7142
143	1203	7153
144	1219	7189
145	1239	7249
146	1275	7403
147	1290	7429
148	1318	7530
149	1326	7515
150	1336	7515
151	1351	7537
152	1367	7568
153	1375	7554
154	1391	7583
155	1403	7592
156	1410	7576
157	1418	7558
158	1424	7534
159	1432	7521
160	1438	7495
161	1444	7472
162	1451	7451
163	1457	7428
164	1464	7408
165	1469	7385
166	1477	7371
167	1487	7365
168	1495	7352
169	1501	7330
170	1513	7336
171	1521	7322
172	1529	7312
173	1536	7293
174	1545	7284
175	1552	7267
176	1562	7263
177	1568	7243
178	1580	7250
179	1588	7235
180	1605	7265
181	1618	7272
182	1629	7276
183	1636	7257
184	1647	7255
185	1655	7247
186	1663	7231
187	1672	7224
188	1681	7216
189	1690	7205
190	1697	7188
191	1705	7176
192	1715	7171
193	1721	7153
194	1731	7148
195	1743	7151
196	1764	7191
197	1771	7175
198	1779	7163
199	1789	7156
200	1797	7145
201	1806	7136
202	1813	7121
203	1821	7106
204	1829	7093
205	1838	7084
206	1848	7082
207	1863	7097
208	1874	7095
209	1883	7084
210	1893	7082
211	1903	7075
212	1912	7064
213	1921	7058
214	1928	7042
215	1938	7034
216	1945	7020
217	1956	7020
218	1964	7005
219	1972	6994
220	1980	6980
221	1991	6978
222	2001	6974
223	2008	6957
224	2016	6947
225	2022	6927
226	2032	6920
227	2039	6906
228	2052	6910
229	2059	6893
230	2069	6888
231	2076	6873
232	2085	6865
233	2108	6902
234	2117	6893
235	2124	6877
236	2132	6864
237	2138	6848
238	2146	6835
239	2152	6816
240	2159	6799
241	2168	6791
242	2174	6774
243	2184	6767
244	2189	6747
245	2197	6735
246	2202	6715
247	2209	6700
248	2216	6683
249	2221	6664
250	2228	6648
251	2233	6630
252	2239	6611
253	2245	6593
254	2250	6575
255	2256	6556
256	2263	6542
257	2268	6524
258	2276	6511
259	2282	6495
260	2288	6478
261	2295	6465
262	2300	6447
263	2306	6431
264	2313	6417
265	2319	6401
266	2326	6387
267	2332	6370
268	2341	6362
269	2347	6347
270	2354	6333
271	2360	6318
272	2367	6303
273	2374	6291
274	2379	6274
275	2386	6260
276	2393	6248
277	2400	6233
278	2407	6221
279	2414	6209
280	2425	6207
281	2431	6192
282	2440	6183
283	2446	6168
284	2458	6167
285	2464	6152
286	2473	6145
287	2481	6134
288	2491	6128
289	2499	6118
290	2507	6109
291	2514	6097
292	2526	6097
293	2533	6084
294	2543	6077
295	2549	6064
296	2559	6058
297	2566	6046
298	2576	6039
299	2585	6031
300	2596	6030
301	2605	6021
302	2612	6010
303	2620	6000
304	2626	5985
305	2635	5977
306	2641	5963
307	2656	5967
308	2664	5957
309	2673	5950
310	2683	5944
311	2690	5932
312	2700	5927
313	2706	5913
314	2717	5910
315	2724	5896
316	2731	5885
317	2737	5871
318	2743	5857
319	2751	5846
320	2757	5832
321	2764	5820
322	2771	5809
323	2779	5798
324	2785	5785
325	2791	5771
326	2800	5763
327	2806	5749
328	2816	5744
329	2822	5730
330	2830	5720
331	2839	5712
332	2847	5703
333	2852	5688
334	2859	5675
335	2865	5663
336	2871	5649
337	2879	5639
338	2884	5625
339	2891	5613
340	2898	5601
341	2904	5588
342	2912	5577
343	2917	5563
344	2924	5551
345	2930	5539
346	2939	5531
347	2945	5519
348	2953	5508
349	2961	5499
350	2969	5489
351	2979	5484
352	2987	5475
353	2997	5469
354	3006	5463
355	3016	5456
356	3025	5448
357	3037	5447
358	3047	5442
359	3058	5436
360	3070	5434
361	3078	5425
362	3097	5434
363	3108	5430
364	3115	5419
365	3124	5412
366	3133	5404
367	3141	5395
368	3147	5381
369	3155	5373
370	3162	5362
371	3172	5355
372	3179	5345
373	3188	5337
374	3195	5326
375	3207	5323
376	3214	5312
377	3223	5303
378	3230	5293
379	3241	5288
380	3248	5277
381	3256	5268
382	3265	5261
383	3274	5252
384	3281	5241
385	3290	5234
386	3296	5222
387	3305	5214
388	3311	5201
389	3320	5194
390	3326	5181
391	3339	5180
392	3347	5170
393	3355	5160
394	3361	5148
395	3370	5140
396	3376	5128
397	3386	5121
398	3391	5108
399	3401	5102
400	3407	5090
401	3417	5083
402	3423	5071
403	3433	5065
404	3441	5056
405	3450	5048
406	3457	5037
407	3464	5026
408	3470	5014
409	3475	5002
